age;job;marital;education;balance;housing;loan;contact;day;month;duration;campaign;pdays;poutcome;y
48;unemployed;married;secondary;41;1;0;unknown;5;may;179;2;-1;unknown;0
34;technician;married;secondary;51;1;0;unknown;5;may;19;2;-1;unknown;0
54;services;married;secondary;214;1;0;unknown;5;may;458;2;-1;unknown;0
51;management;married;secondary;1161;1;0;unknown;5;may;717;1;-1;unknown;0
31;services;married;tertiary;37;1;0;unknown;5;may;313;1;-1;unknown;0
35;technician;divorced;secondary;787;1;0;unknown;5;may;683;2;-1;unknown;0
35;services;married;secondary;59;1;0;unknown;5;may;1077;1;-1;unknown;0
38;technician;married;secondary;253;1;0;unknown;5;may;416;1;-1;unknown;0
36;admin.;married;tertiary;211;1;0;unknown;5;may;146;2;-1;unknown;0
58;retired;married;primary;235;1;0;unknown;5;may;167;1;-1;unknown;0
40;services;divorced;unknown;4384;1;0;unknown;5;may;315;1;-1;unknown;0
54;management;married;secondary;4080;0;0;unknown;5;may;140;1;-1;unknown;0
34;blue-collar;single;secondary;53;1;1;unknown;5;may;346;1;-1;unknown;0
31;management;single;tertiary;0;1;0;unknown;5;may;562;1;-1;unknown;0
51;retired;married;secondary;2127;1;0;unknown;5;may;172;1;-1;unknown;0
33;management;married;tertiary;377;1;0;unknown;5;may;217;1;-1;unknown;0
55;management;married;tertiary;73;1;0;unknown;5;may;142;2;-1;unknown;0
42;admin.;married;secondary;445;1;0;unknown;5;may;67;1;-1;unknown;0
34;blue-collar;married;secondary;243;1;0;unknown;5;may;291;1;-1;unknown;0
33;blue-collar;single;secondary;307;1;0;unknown;5;may;309;2;-1;unknown;0
38;services;married;secondary;155;1;0;unknown;5;may;248;1;-1;unknown;0
50;technician;divorced;tertiary;173;0;1;unknown;5;may;98;1;-1;unknown;0
43;management;married;tertiary;400;1;0;unknown;5;may;256;1;-1;unknown;0
61;blue-collar;divorced;primary;1428;1;0;unknown;5;may;82;2;-1;unknown;0
47;admin.;married;secondary;219;1;0;unknown;5;may;577;1;-1;unknown;0
48;self-employed;married;tertiary;7;1;0;unknown;5;may;286;1;-1;unknown;0
44;blue-collar;married;secondary;575;1;0;unknown;5;may;477;1;-1;unknown;0
35;student;single;unknown;298;1;0;unknown;5;may;611;2;-1;unknown;0
35;services;married;secondary;0;1;0;unknown;5;may;471;1;-1;unknown;0
50;services;married;secondary;5699;1;0;unknown;5;may;381;2;-1;unknown;0
41;management;married;tertiary;176;1;1;unknown;5;may;42;1;-1;unknown;0
41;management;married;tertiary;517;1;0;unknown;5;may;251;1;-1;unknown;0
39;services;single;unknown;257;1;0;unknown;5;may;408;1;-1;unknown;0
42;retired;married;secondary;56;1;0;unknown;5;may;215;1;-1;unknown;0
38;blue-collar;married;secondary;-390;1;0;unknown;5;may;287;1;-1;unknown;0
53;retired;married;secondary;330;1;0;unknown;5;may;216;2;-1;unknown;0
59;housemaid;divorced;primary;195;0;0;unknown;5;may;366;2;-1;unknown;0
36;services;married;secondary;301;1;0;unknown;5;may;210;1;-1;unknown;0
54;blue-collar;married;primary;-41;1;0;unknown;5;may;288;1;-1;unknown;0
40;technician;married;tertiary;483;1;0;unknown;5;may;168;1;-1;unknown;0
47;unknown;married;unknown;28;0;0;unknown;5;may;338;2;-1;unknown;0
53;unemployed;married;unknown;13;0;0;unknown;5;may;410;3;-1;unknown;0
46;housemaid;married;primary;965;0;0;unknown;5;may;177;1;-1;unknown;0
39;management;married;tertiary;378;1;1;unknown;5;may;127;2;-1;unknown;0
40;unemployed;married;secondary;219;1;0;unknown;5;may;357;1;-1;unknown;0
28;blue-collar;married;primary;324;1;0;unknown;5;may;175;1;-1;unknown;0
35;entrepreneur;divorced;secondary;-69;1;0;unknown;5;may;300;1;-1;unknown;0
55;retired;married;secondary;0;0;1;unknown;5;may;136;1;-1;unknown;0
43;technician;divorced;unknown;205;1;0;unknown;5;may;1419;1;-1;unknown;0
48;blue-collar;married;primary;278;1;0;unknown;5;may;125;2;-1;unknown;0
58;management;married;unknown;1065;1;0;unknown;5;may;213;3;-1;unknown;0
33;management;single;tertiary;34;1;0;unknown;5;may;27;1;-1;unknown;0
36;blue-collar;married;unknown;1033;0;0;unknown;5;may;238;2;-1;unknown;0
53;services;divorced;secondary;1467;1;0;unknown;5;may;124;1;-1;unknown;0
47;blue-collar;married;primary;-12;1;0;unknown;5;may;18;1;-1;unknown;0
31;services;married;secondary;388;1;0;unknown;5;may;730;2;-1;unknown;0
57;entrepreneur;married;secondary;294;1;0;unknown;5;may;746;2;-1;unknown;0
53;blue-collar;married;unknown;1827;0;0;unknown;5;may;121;1;-1;unknown;0
55;blue-collar;married;primary;627;1;0;unknown;5;may;247;1;-1;unknown;0
45;blue-collar;married;primary;25;1;0;unknown;5;may;40;1;-1;unknown;0
53;admin.;divorced;secondary;315;1;0;unknown;5;may;181;2;-1;unknown;0
37;blue-collar;married;primary;0;1;0;unknown;5;may;79;1;-1;unknown;0
44;admin.;divorced;secondary;66;1;0;unknown;5;may;206;1;-1;unknown;0
49;blue-collar;divorced;primary;-9;1;1;unknown;5;may;389;1;-1;unknown;0
46;technician;married;secondary;349;1;1;unknown;5;may;127;1;-1;unknown;0
43;entrepreneur;married;unknown;100;1;0;unknown;5;may;702;1;-1;unknown;0
38;admin.;married;secondary;0;0;0;unknown;5;may;151;1;-1;unknown;0
43;technician;married;secondary;434;1;0;unknown;5;may;117;1;-1;unknown;0
49;management;married;tertiary;3237;1;0;unknown;5;may;232;3;-1;unknown;0
42;management;married;unknown;275;0;0;unknown;5;may;408;2;-1;unknown;0
22;blue-collar;single;secondary;0;1;0;unknown;5;may;179;2;-1;unknown;0
40;management;married;tertiary;207;1;0;unknown;5;may;39;1;-1;unknown;0
39;blue-collar;married;secondary;483;1;0;unknown;5;may;282;1;-1;unknown;0
51;services;married;secondary;2248;1;0;unknown;5;may;714;2;-1;unknown;0
49;admin.;married;secondary;428;1;0;unknown;5;may;50;1;-1;unknown;0
53;blue-collar;married;secondary;0;1;1;unknown;5;may;181;1;-1;unknown;0
34;services;single;secondary;0;1;0;unknown;5;may;142;1;-1;unknown;0
33;technician;divorced;secondary;140;1;0;unknown;5;may;227;1;-1;unknown;0
50;management;single;tertiary;297;1;0;unknown;5;may;119;1;-1;unknown;0
39;blue-collar;married;primary;279;1;0;unknown;5;may;361;1;-1;unknown;0
59;entrepreneur;divorced;secondary;901;1;0;unknown;5;may;73;3;-1;unknown;0
30;technician;single;secondary;2573;1;0;unknown;5;may;67;2;-1;unknown;0
36;services;married;secondary;143;1;1;unknown;5;may;350;1;-1;unknown;0
40;blue-collar;married;secondary;475;1;0;unknown;5;may;332;2;-1;unknown;0
53;blue-collar;married;secondary;70;1;0;unknown;5;may;611;2;-1;unknown;0
34;management;single;tertiary;318;1;0;unknown;5;may;113;2;-1;unknown;0
37;technician;married;secondary;275;1;0;unknown;5;may;132;1;-1;unknown;0
42;management;divorced;tertiary;742;1;0;unknown;5;may;58;3;-1;unknown;0
41;entrepreneur;married;primary;236;1;0;unknown;5;may;151;1;-1;unknown;0
30;student;single;tertiary;25;1;0;unknown;5;may;89;2;-1;unknown;0
37;management;single;tertiary;600;1;0;unknown;5;may;152;1;-1;unknown;0
39;admin.;divorced;secondary;-349;1;0;unknown;5;may;611;2;-1;unknown;0
41;blue-collar;married;primary;183;1;1;unknown;5;may;110;2;-1;unknown;0
40;blue-collar;married;primary;0;1;0;unknown;5;may;463;1;-1;unknown;0
42;management;single;tertiary;0;1;1;unknown;5;may;562;2;-1;unknown;1
40;blue-collar;divorced;primary;0;1;0;unknown;5;may;962;1;-1;unknown;0
57;technician;married;secondary;1078;1;0;unknown;5;may;10;4;-1;unknown;0
56;entrepreneur;divorced;secondary;155;0;0;unknown;5;may;118;3;-1;unknown;0
37;admin.;married;secondary;190;1;0;unknown;5;may;92;2;-1;unknown;0
59;retired;married;secondary;319;1;0;unknown;5;may;143;3;-1;unknown;0
39;services;divorced;secondary;-185;1;0;unknown;5;may;189;3;-1;unknown;0
49;services;married;secondary;47;0;0;unknown;5;may;234;2;-1;unknown;0
38;services;single;secondary;570;1;0;unknown;5;may;75;2;-1;unknown;0
36;self-employed;married;tertiary;19;0;0;unknown;5;may;189;2;-1;unknown;0
50;blue-collar;married;primary;61;1;0;unknown;5;may;621;3;-1;unknown;0
41;admin.;married;secondary;-62;1;1;unknown;5;may;55;2;-1;unknown;0
54;technician;married;tertiary;258;0;0;unknown;5;may;310;4;-1;unknown;0
58;blue-collar;married;primary;76;1;0;unknown;5;may;156;2;-1;unknown;0
30;blue-collar;single;secondary;0;1;0;unknown;5;may;5;2;-1;unknown;0
33;admin.;single;secondary;352;1;0;unknown;5;may;225;2;-1;unknown;0
47;admin.;married;secondary;368;1;0;unknown;5;may;125;2;-1;unknown;0
50;technician;single;tertiary;339;1;0;unknown;5;may;2;3;-1;unknown;0
32;blue-collar;married;secondary;1331;1;0;unknown;5;may;286;2;-1;unknown;0
40;self-employed;married;secondary;672;1;0;unknown;5;may;164;2;-1;unknown;0
37;management;married;tertiary;58;1;0;unknown;5;may;98;2;-1;unknown;0
54;technician;single;unknown;447;1;0;unknown;5;may;742;2;-1;unknown;0
24;student;single;secondary;423;1;0;unknown;5;may;226;3;-1;unknown;0
54;management;married;tertiary;0;0;0;unknown;5;may;120;2;-1;unknown;0
34;technician;married;secondary;19;1;0;unknown;5;may;362;4;-1;unknown;0
56;technician;divorced;primary;13;1;0;unknown;5;may;357;2;-1;unknown;0
31;blue-collar;single;secondary;3;1;0;unknown;5;may;200;2;-1;unknown;0
24;student;single;secondary;82;1;0;unknown;5;may;204;2;-1;unknown;0
42;blue-collar;divorced;primary;28;1;0;unknown;5;may;126;3;-1;unknown;0
57;technician;married;secondary;792;1;0;unknown;5;may;65;2;-1;unknown;0
42;blue-collar;married;unknown;408;1;0;unknown;5;may;107;2;-1;unknown;0
51;admin.;married;secondary;531;1;0;unknown;5;may;267;2;-1;unknown;0
57;retired;married;secondary;211;1;0;unknown;5;may;248;2;-1;unknown;0
36;services;single;secondary;62;1;0;unknown;5;may;215;2;-1;unknown;0
53;services;married;unknown;257;1;0;unknown;5;may;209;2;-1;unknown;0
50;technician;married;secondary;1234;1;0;unknown;5;may;205;2;-1;unknown;0
54;management;married;tertiary;313;1;0;unknown;5;may;83;2;-1;unknown;0
55;blue-collar;married;secondary;89;1;0;unknown;5;may;106;3;-1;unknown;0
44;blue-collar;married;secondary;129;1;1;unknown;5;may;189;2;-1;unknown;0
43;management;married;unknown;0;1;0;unknown;5;may;105;2;-1;unknown;0
56;admin.;married;secondary;353;1;0;unknown;5;may;106;2;-1;unknown;0
54;technician;married;unknown;851;1;0;unknown;5;may;108;2;-1;unknown;0
55;services;divorced;primary;96;1;1;unknown;5;may;311;2;-1;unknown;0
37;services;divorced;secondary;398;1;1;unknown;5;may;214;2;-1;unknown;0
33;admin.;single;tertiary;193;0;0;unknown;5;may;132;2;-1;unknown;0
46;admin.;married;secondary;-358;1;0;unknown;5;may;358;2;-1;unknown;0
36;blue-collar;married;secondary;539;1;1;unknown;5;may;453;2;-1;unknown;0
51;technician;single;secondary;0;1;0;unknown;5;may;364;2;-1;unknown;0
40;retired;single;primary;0;0;0;unknown;5;may;136;2;-1;unknown;0
42;blue-collar;married;secondary;490;1;0;unknown;5;may;386;2;-1;unknown;0
51;blue-collar;married;secondary;0;1;0;unknown;5;may;173;2;-1;unknown;0
49;blue-collar;married;unknown;403;1;0;unknown;5;may;241;2;-1;unknown;0
48;management;married;secondary;161;1;0;unknown;5;may;224;3;-1;unknown;0
32;technician;divorced;tertiary;2558;0;0;unknown;5;may;148;2;-1;unknown;0
31;admin.;single;secondary;98;1;0;unknown;5;may;196;2;-1;unknown;0
55;management;single;tertiary;115;0;0;unknown;5;may;111;4;-1;unknown;0
40;blue-collar;single;secondary;436;1;0;unknown;5;may;231;3;-1;unknown;0
47;technician;married;tertiary;831;1;0;unknown;5;may;316;3;-1;unknown;0
57;technician;married;unknown;206;1;0;unknown;5;may;216;3;-1;unknown;0
41;blue-collar;married;secondary;290;1;0;unknown;5;may;240;2;-1;unknown;0
48;blue-collar;married;secondary;1;0;0;unknown;5;may;669;3;-1;unknown;0
42;blue-collar;married;unknown;57;1;0;unknown;5;may;425;2;-1;unknown;0
30;blue-collar;single;secondary;-457;1;0;unknown;5;may;143;2;-1;unknown;0
58;management;single;tertiary;1387;1;0;unknown;5;may;174;5;-1;unknown;0
45;management;divorced;tertiary;24598;1;0;unknown;5;may;313;3;-1;unknown;0
49;blue-collar;married;secondary;30;1;0;unknown;5;may;135;4;-1;unknown;0
42;admin.;single;secondary;1022;1;0;unknown;5;may;146;2;-1;unknown;0
53;technician;married;secondary;56;1;1;unknown;5;may;152;2;-1;unknown;0
51;admin.;single;secondary;-2;0;0;unknown;5;may;402;3;-1;unknown;0
32;services;single;secondary;121;1;0;unknown;5;may;213;2;-1;unknown;0
41;blue-collar;single;secondary;842;1;0;unknown;5;may;144;3;-1;unknown;0
43;management;divorced;secondary;693;1;0;unknown;5;may;124;3;-1;unknown;0
40;blue-collar;divorced;secondary;-333;1;0;unknown;5;may;183;2;-1;unknown;0
50;blue-collar;married;primary;1533;1;0;unknown;5;may;325;2;-1;unknown;0
34;management;married;tertiary;46;1;0;unknown;5;may;39;4;-1;unknown;0
53;services;married;unknown;18;0;0;unknown;5;may;503;2;-1;unknown;0
45;technician;married;secondary;44;1;0;unknown;5;may;95;4;-1;unknown;0
39;blue-collar;married;primary;-100;1;0;unknown;5;may;680;2;-1;unknown;0
44;services;married;tertiary;510;1;0;unknown;5;may;421;4;-1;unknown;0
55;management;married;tertiary;685;1;0;unknown;5;may;174;3;-1;unknown;0
46;management;single;tertiary;187;1;0;unknown;5;may;113;2;-1;unknown;0
45;blue-collar;married;secondary;66;1;0;unknown;5;may;808;2;-1;unknown;0
34;admin.;married;secondary;560;1;0;unknown;5;may;198;3;-1;unknown;0
